order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1000,1419,2023-08-19,234,31,37.63,1166.53,Cancelled,2022-04-23
1001,525,2024-05-25,315,15,304.36,4565.4,Pending,2022-02-12
1002,1778,2023-04-30,156,45,415.72,18707.4,Pending,2022-02-26
1003,2514,2024-10-08,316,32,265.21,8486.72,Cancelled,2022-08-26
1004,3508,2023-06-27,204,48,119.0,5712.0,Pending,2023-04-18
1005,1129,2023-05-04,264,4,207.34,829.36,Cancelled,2023-05-17
1006,4660,2022-12-09,245,13,483.35,6283.55,Pending,2024-11-05
1007,8160,2024-08-27,391,49,420.5,20604.5,Completed,2024-12-12
1008,1381,2022-10-05,117,24,475.62,11414.88,Pending,2022-06-14
1009,1960,2024-01-15,56,33,436.93,14418.69,Pending,2023-05-08
1010,9129,2024-04-24,283,35,251.78,8812.3,Cancelled,2024-12-21
1011,128,2022-07-19,167,6,139.55,837.3,Pending,2024-04-05
1012,9786,2023-06-07,88,14,400.83,5611.62,Cancelled,2024-02-23
1013,9224,2024-02-04,177,25,409.67,10241.75,Completed,2024-11-21
1014,6812,2023-06-17,415,42,351.47,14761.74,Cancelled,2023-09-28
1015,317,2022-06-24,297,44,344.05,15138.2,Completed,2024-08-18
1016,1987,2022-01-12,489,12,185.81,2229.72,Cancelled,2024-08-09
1017,8453,2023-11-24,171,20,334.06,6681.2,Completed,2022-06-13
1018,218,2023-05-04,314,27,125.81,3396.87,Pending,2024-07-17
1019,5739,2024-04-21,130,25,201.55,5038.75,Pending,2023-05-04
1020,6899,2023-07-07,134,39,266.07,10376.73,Cancelled,2024-01-21
1021,4127,2024-02-10,54,12,83.29,999.48,Pending,2024-10-12
1022,5086,2022-03-13,315,36,149.0,5364.0,Pending,2022-12-18
1023,8302,2024-08-02,474,31,236.57,7333.67,Cancelled,2024-08-10
1024,7909,2022-10-21,367,48,39.26,1884.48,Completed,2023-09-11
1025,5571,2023-09-19,101,49,327.45,16045.05,Pending,2023-12-11
1026,2426,2024-01-14,374,13,453.05,5889.65,Pending,2023-04-26
1027,8528,2024-04-27,32,15,270.8,4062.0,Pending,2023-08-20
1028,3952,2024-08-10,409,39,288.99,11270.61,Completed,2022-04-27
1029,1266,2024-12-09,241,36,449.43,16179.48,Cancelled,2022-05-13
1030,4407,2023-04-14,45,15,344.49,5167.35,Cancelled,2023-07-12
1031,778,2024-12-14,39,10,390.06,3900.6,Cancelled,2023-10-11
1032,6075,2022-10-23,146,9,250.68,2256.12,Completed,2023-09-14
1033,7328,2022-06-11,207,46,107.56,4947.76,Completed,2023-12-24
1034,2796,2024-01-19,2,9,150.02,1350.18,Cancelled,2022-06-10
1035,5636,2024-03-05,256,4,18.99,75.96,Pending,2022-06-12
1036,3110,2024-03-09,392,47,68.56,3222.32,Completed,2024-01-30
1037,6507,2024-03-05,450,42,108.99,4577.58,Cancelled,2022-04-08
1038,1043,2023-06-28,264,3,378.99,1136.97,Pending,2024-05-04
1039,9103,2024-06-04,498,50,335.36,16768.0,Completed,2023-10-21
1040,541,2024-07-23,352,20,13.51,270.2,Pending,2024-04-25
1041,6553,2024-07-15,263,1,313.45,313.45,Pending,2023-05-24
1042,9425,2022-08-19,417,28,311.91,8733.48,Completed,2024-09-07
1043,3826,2024-10-27,29,35,291.2,10192.0,Pending,2023-10-05
1044,4264,2023-05-31,69,24,390.62,9374.88,Pending,2024-12-22
1045,9653,2022-07-06,273,8,293.2,2345.6,Pending,2023-07-10
1046,5493,2023-03-18,345,37,44.33,1640.21,Cancelled,2022-08-12
1047,685,2022-06-02,342,36,15.92,573.12,Completed,2022-10-10
1048,1639,2024-12-20,317,9,317.23,2855.07,Pending,2024-12-26
1049,2844,2022-05-02,2,50,298.59,14929.5,Pending,2022-01-01
1050,8882,2024-05-22,163,13,469.31,6101.03,Pending,2022-12-06
1051,6731,2023-10-03,339,47,284.01,13348.47,Pending,2023-01-26
1052,5074,2022-06-30,49,50,58.47,2923.5,Cancelled,2023-07-29
1053,8646,2024-12-03,299,36,255.43,9195.48,Cancelled,2023-03-16
1054,9091,2024-06-09,146,16,65.38,1046.08,Pending,2023-06-15
1055,8504,2023-04-19,332,40,428.29,17131.6,Pending,2022-08-20
1056,4432,2024-12-16,410,43,491.03,21114.29,Completed,2023-11-09
1057,5293,2022-06-27,284,29,394.39,11437.31,Cancelled,2024-06-24
1058,678,2024-11-28,281,7,120.61,844.27,Cancelled,2024-04-18
1059,602,2023-01-14,358,39,307.44,11990.16,Completed,2023-12-06
1060,5304,2023-03-10,108,1,396.58,396.58,Cancelled,2024-04-17
1061,3456,2022-09-20,358,4,464.01,1856.04,Completed,2022-10-12
1062,6714,2024-05-08,170,39,277.46,10820.94,Cancelled,2022-03-03
1063,4142,2024-08-16,71,45,275.5,12397.5,Completed,2024-06-05
1064,4678,2023-12-19,329,9,364.98,3284.82,Completed,2024-08-29
1065,2353,2023-01-12,325,33,19.08,629.64,Pending,2022-08-07
1066,1897,2024-02-27,210,26,382.84,9953.84,Cancelled,2023-07-14
1067,5364,2024-12-03,261,6,24.12,144.72,Completed,2023-03-07
1068,7616,2023-05-07,280,46,331.17,15233.82,Pending,2023-01-13
1069,554,2022-10-11,474,45,316.47,14241.15,Pending,2022-01-30
1070,7866,2023-06-24,336,16,230.76,3692.16,Cancelled,2022-09-09
1071,5117,2024-12-27,88,41,105.27,4316.07,Cancelled,2022-04-10
1072,6889,2023-06-19,380,31,433.59,13441.29,Completed,2022-07-10
1073,9582,2024-11-24,214,8,152.37,1218.96,Completed,2024-05-29
1074,5715,2022-07-26,283,25,464.13,11603.25,Completed,2023-05-30
1075,5844,2022-10-03,72,35,167.37,5857.95,Pending,2024-05-24
1076,4796,2024-06-30,230,10,379.31,3793.1,Cancelled,2022-10-12
1077,8006,2024-11-25,213,25,223.02,5575.5,Completed,2022-01-29
1078,8898,2022-01-14,179,33,325.43,10739.19,Completed,2024-06-25
1079,5202,2024-09-02,288,6,182.58,1095.48,Cancelled,2024-01-22
1080,8921,2024-08-01,439,18,67.89,1222.02,Completed,2022-04-19
1081,317,2022-08-21,480,46,415.21,19099.66,Cancelled,2023-04-21
1082,5422,2022-10-07,329,27,381.92,10311.84,Pending,2023-05-17
1083,5862,2023-10-31,383,24,437.77,10506.48,Cancelled,2022-07-13
1084,7533,2022-10-15,473,14,478.55,6699.7,Completed,2024-03-28
1085,6106,2024-09-07,127,26,152.35,3961.1,Completed,2024-12-30
1086,6002,2023-04-30,404,18,378.6,6814.8,Pending,2022-07-02
1087,6708,2023-03-15,119,37,45.18,1671.66,Pending,2024-04-18
1088,7566,2024-10-12,326,30,295.07,8852.1,Cancelled,2022-01-03
