product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Standard Device,Sports,252.44,74.07,104,96
2,Smart Service,Hardware,427.7,19.75,223,39
3,Smart Hub,Electronics,565.63,359.43,718,79
4,Ultra Tool,Food,593.37,405.67,6,30
5,Ultra System,Sports,163.92,478.82,344,23
6,Standard Software,Clothing,365.39,175.26,270,15
7,Super Console,Clothing,973.38,192.37,565,47
8,Wireless System,Hardware,200.37,39.43,677,39
9,Basic Service,Home & Garden,867.82,193.16,464,91
10,Advanced Product,Toys,361.72,336.74,718,97
11,Standard Hub,Books,538.8,126.18,473,58
12,Basic Console,Home & Garden,687.77,422.21,794,17
13,Professional Device,Toys,407.15,37.76,935,82
14,Advanced Tool,Food,401.68,457.7,469,28
15,Basic Product,Home & Garden,747.54,271.79,764,84
16,Ultra Hub,Beauty,368.38,498.68,141,75
17,Super Service,Electronics,862.49,80.66,163,97
18,Ultra Hub,Clothing,390.92,299.96,479,77
19,Basic Console,Electronics,683.48,61.7,906,78
20,Basic System,Clothing,300.57,83.29,3,43
21,Smart Product,Software,913.5,435.91,305,91
22,Smart Hub,Home & Garden,161.31,382.44,552,77
23,Premium Hub,Toys,493.72,60.37,371,49
24,Professional Device,Home & Garden,879.23,473.74,87,72
25,Standard Console,Books,137.11,240.26,562,31
26,Basic Console,Hardware,428.91,109.84,552,98
27,Professional Solution,Beauty,995.2,326.69,448,76
28,Super Service,Home & Garden,232.45,172.35,602,80
29,Professional Hub,Home & Garden,17.12,355.38,60,39
30,Standard Device,Toys,80.15,122.81,685,72
31,Professional Console,Books,726.12,441.78,590,70
32,Professional Hardware,Beauty,198.51,52.98,441,55
33,Ultra Software,Food,865.2,31.81,669,92
34,Standard Device,Beauty,730.93,401.29,111,41
35,Professional Tool,Software,454.13,213.83,285,69
36,Professional Service,Food,809.94,428.7,100,16
37,Smart Device,Clothing,927.1,425.1,170,62
38,Super Hardware,Home & Garden,866.0,451.71,168,58
39,Premium Software,Sports,927.25,393.64,292,64
40,Smart Hardware,Books,198.0,112.76,59,84
41,Smart Device,Toys,66.59,294.17,514,77
42,Deluxe Device,Software,89.31,96.98,609,18
43,Professional Software,Clothing,942.18,286.99,592,86
44,Premium Hub,Clothing,425.03,293.92,535,50
45,Basic Tool,Toys,246.3,200.91,687,92
46,Basic Hardware,Toys,929.73,468.19,9,68
47,Wireless Hub,Clothing,82.53,110.51,271,26
48,Advanced Service,Home & Garden,375.83,83.08,853,79
49,Basic Hub,Software,17.74,409.47,306,94
50,Standard Product,Sports,124.27,57.98,566,29
51,Basic Solution,Hardware,218.52,174.73,703,91
52,Basic Console,Food,258.61,454.54,52,21
53,Ultra Solution,Electronics,13.51,386.7,652,43
54,Deluxe Hardware,Software,708.61,282.65,114,19
55,Deluxe Console,Electronics,836.25,293.34,151,65
56,Deluxe Device,Sports,371.01,466.88,995,15
57,Advanced Tool,Home & Garden,670.26,180.07,573,62
58,Wireless Product,Home & Garden,865.96,488.22,830,32
59,Ultra Device,Books,739.2,169.43,953,62
60,Professional Solution,Books,789.5,58.51,893,14
61,Super Tool,Home & Garden,818.42,232.85,312,39
62,Professional Device,Home & Garden,404.48,142.91,71,45
63,Advanced Console,Beauty,682.72,422.61,339,13
64,Standard Solution,Books,584.78,491.86,39,23
65,Wireless Software,Toys,731.26,160.27,620,75
66,Standard Software,Hardware,198.18,26.97,446,10
67,Smart Console,Home & Garden,370.58,39.64,680,52
68,Wireless System,Clothing,722.56,153.66,316,95
69,Ultra System,Beauty,700.24,279.43,196,63
70,Ultra Product,Hardware,573.41,206.01,853,10
71,Basic Solution,Home & Garden,435.59,292.09,670,51
72,Super Hardware,Food,678.87,258.03,812,31
73,Standard Solution,Software,667.22,311.53,95,40
74,Basic Tool,Home & Garden,155.88,27.88,486,88
75,Standard Hardware,Beauty,887.28,289.96,735,99
76,Ultra Hardware,Beauty,251.54,329.75,5,23
77,Ultra Tool,Books,806.07,349.48,475,16
78,Smart Tool,Clothing,461.9,401.7,683,77
79,Smart Hub,Toys,950.54,446.26,627,74
80,Ultra Console,Food,898.24,373.11,486,67
81,Basic Tool,Sports,768.16,263.04,641,40
82,Basic Hardware,Clothing,716.41,121.07,343,50
83,Smart Service,Books,159.32,194.6,156,100
84,Professional Service,Beauty,413.52,273.59,425,17
85,Professional Software,Beauty,905.79,294.12,712,12
86,Wireless Software,Food,15.84,179.12,771,59
87,Ultra Console,Software,801.87,449.42,499,38
88,Basic Software,Food,38.73,171.38,695,61
89,Deluxe Hardware,Books,980.91,269.39,928,60
90,Wireless Hub,Electronics,93.11,217.16,887,69
91,Deluxe Device,Sports,385.31,109.77,334,53
92,Ultra Solution,Beauty,259.75,45.54,19,79
93,Premium System,Home & Garden,653.64,391.71,667,15
94,Premium Tool,Home & Garden,840.84,312.56,244,26
95,Super Service,Hardware,948.28,235.19,262,57
96,Deluxe Hub,Hardware,964.1,360.59,796,30
97,Basic Service,Hardware,35.42,159.42,693,58
98,Ultra Tool,Clothing,596.18,416.13,248,23
99,Basic Hub,Clothing,798.26,285.14,42,54
100,Smart Software,Toys,78.27,325.53,12,63
101,Super Service,Beauty,961.18,319.61,848,68
102,Deluxe Software,Books,736.46,482.91,276,88
103,Smart Hardware,Food,441.22,366.86,274,51
104,Professional Service,Sports,882.81,125.71,475,82
105,Wireless Software,Toys,38.41,426.22,186,72
106,Professional System,Sports,346.94,440.76,718,45
107,Smart Device,Software,948.58,47.38,737,62
108,Super Console,Home & Garden,693.7,324.72,502,67
109,Premium Service,Sports,229.38,347.43,313,94
110,Wireless System,Food,557.94,175.16,763,80
111,Advanced System,Food,278.21,129.44,123,34
112,Advanced Service,Software,951.37,346.63,196,37
113,Super Solution,Hardware,976.84,264.7,289,22
114,Professional Solution,Home & Garden,367.27,154.62,725,78
115,Deluxe Solution,Electronics,974.55,278.91,714,26
116,Super Service,Electronics,578.32,237.35,451,53
117,Deluxe Device,Sports,941.65,241.48,841,18
118,Ultra Hardware,Clothing,581.25,344.79,155,29
119,Wireless Solution,Clothing,993.98,63.63,782,63
120,Wireless Hub,Hardware,233.43,263.67,461,66
121,Basic Hub,Beauty,312.33,312.41,624,22
122,Professional Tool,Sports,663.82,82.74,177,80
123,Standard Product,Electronics,414.43,346.24,481,47
124,Premium Tool,Sports,709.89,352.98,464,19
125,Professional Solution,Hardware,664.57,467.17,435,24
126,Smart Tool,Books,909.33,414.18,73,17
127,Deluxe Solution,Hardware,751.47,286.76,295,66
128,Standard Hardware,Sports,702.74,471.62,512,79
129,Super Hardware,Clothing,602.06,445.26,752,51
130,Wireless Solution,Electronics,100.41,481.15,856,83
131,Wireless Device,Sports,580.48,382.74,179,70
132,Smart Hardware,Sports,189.67,294.74,650,72
133,Standard Hardware,Toys,414.26,163.92,107,30
134,Advanced Software,Food,295.34,472.87,833,80
135,Premium Hardware,Clothing,321.37,165.02,993,61
136,Smart Device,Software,467.36,31.83,530,56
137,Wireless Hardware,Food,762.39,105.76,562,26
138,Basic Hardware,Food,130.21,486.71,623,40
139,Deluxe Solution,Software,23.54,206.96,230,24
140,Super Service,Books,503.39,359.72,521,100
141,Basic Software,Food,980.44,125.65,564,28
142,Ultra Tool,Hardware,513.16,440.27,884,18
143,Basic Software,Toys,934.91,256.33,840,10
144,Basic Solution,Hardware,584.12,331.67,886,29
145,Super Console,Food,351.67,278.2,556,58
146,Super System,Home & Garden,980.97,123.21,392,39
147,Ultra Device,Toys,747.26,354.09,830,58
148,Ultra Product,Food,965.18,67.49,988,85
149,Advanced Service,Food,108.71,455.67,15,28
150,Ultra Product,Clothing,474.8,484.76,346,89
151,Ultra Service,Toys,853.82,430.37,389,50
152,Super Console,Electronics,621.28,121.21,700,46
153,Professional Service,Beauty,978.55,381.38,720,22
154,Super Product,Sports,904.39,27.77,815,17
155,Basic System,Toys,436.38,125.88,421,82
156,Deluxe Product,Books,88.18,436.07,634,97
157,Professional Hardware,Hardware,151.69,233.27,260,68
158,Basic Device,Food,902.2,340.42,161,19
159,Super System,Hardware,306.16,481.2,706,42
160,Super Solution,Home & Garden,999.38,427.4,109,40
161,Ultra Hub,Toys,579.06,496.38,302,12
162,Ultra Solution,Electronics,570.27,344.47,762,16
163,Wireless Hardware,Sports,777.98,118.91,821,55
164,Professional Tool,Hardware,258.12,379.01,785,94
165,Deluxe Service,Electronics,315.84,223.21,593,56
166,Deluxe Service,Sports,333.45,210.67,205,26
167,Smart System,Software,506.78,139.9,168,42
168,Super Solution,Toys,806.19,236.82,77,28
169,Professional Software,Software,372.12,396.39,14,43
170,Smart Service,Food,374.9,375.76,268,84
171,Ultra System,Clothing,678.09,238.38,634,81
172,Advanced Hub,Home & Garden,651.18,319.52,475,99
173,Basic Software,Clothing,148.38,473.4,311,73
174,Standard Service,Home & Garden,888.39,72.15,464,57
175,Smart Software,Hardware,744.85,81.49,424,93
176,Standard Hardware,Hardware,414.03,476.0,33,98
177,Advanced Tool,Food,450.25,121.88,371,22
178,Advanced Console,Toys,69.94,141.56,991,25
179,Super Service,Home & Garden,645.29,300.59,21,16
180,Advanced Tool,Books,789.11,106.58,849,80
181,Professional Hub,Home & Garden,814.92,120.33,792,28
182,Wireless Device,Sports,859.82,76.62,133,79
183,Basic Product,Clothing,664.45,17.76,15,55
184,Professional Hub,Toys,25.62,136.36,129,63
185,Smart Service,Clothing,481.48,390.12,525,85
186,Standard Hardware,Software,229.33,309.48,744,94
187,Smart Solution,Food,646.91,20.42,490,61
188,Ultra Service,Food,715.28,224.56,920,20
189,Advanced Hub,Books,75.03,141.13,648,84
190,Smart System,Beauty,994.68,267.63,464,74
191,Wireless Software,Clothing,795.17,61.63,670,93
192,Smart Tool,Beauty,457.04,118.1,347,68
193,Ultra Software,Clothing,319.42,159.7,261,57
194,Deluxe Hardware,Clothing,100.31,47.26,442,22
195,Advanced Product,Software,69.38,478.53,575,52
196,Standard Software,Toys,874.87,470.86,433,16
